3.07,3.11,3.1,3.12,3.13,3.15,3.39,3.16,3.16,3.18
3.11,3.1,3.12,3.13,3.15,3.39,3.16,3.16,3.18,3.2
3.1,3.12,3.13,3.15,3.39,3.16,3.16,3.18,3.2,3.23
3.12,3.13,3.15,3.39,3.16,3.16,3.18,3.2,3.23,3.55
3.13,3.15,3.39,3.16,3.16,3.18,3.2,3.23,3.55,3.7
3.15,3.39,3.16,3.16,3.18,3.2,3.23,3.55,3.7,3.72
3.39,3.16,3.16,3.18,3.2,3.23,3.55,3.7,3.72,3.69
3.16,3.16,3.18,3.2,3.23,3.55,3.7,3.72,3.69,3.66
3.16,3.18,3.2,3.23,3.55,3.7,3.72,3.69,3.66,3.66
3.18,3.2,3.23,3.55,3.7,3.72,3.69,3.66,3.66,3.51
3.2,3.23,3.55,3.7,3.72,3.69,3.66,3.66,3.51,3.22
3.23,3.55,3.7,3.72,3.69,3.66,3.66,3.51,3.22,3.54
3.55,3.7,3.72,3.69,3.66,3.66,3.51,3.22,3.54,3.55
3.7,3.72,3.69,3.66,3.66,3.51,3.22,3.54,3.55,3.3
3.72,3.69,3.66,3.66,3.51,3.22,3.54,3.55,3.3,3.29
3.69,3.66,3.66,3.51,3.22,3.54,3.55,3.3,3.29,3.43
3.66,3.66,3.51,3.22,3.54,3.55,3.3,3.29,3.43,3.29
3.66,3.51,3.22,3.54,3.55,3.3,3.29,3.43,3.29,3.27
3.51,3.22,3.54,3.55,3.3,3.29,3.43,3.29,3.27,3.54
3.22,3.54,3.55,3.3,3.29,3.43,3.29,3.27,3.54,3.45
3.54,3.55,3.3,3.29,3.43,3.29,3.27,3.54,3.45,3.45
3.55,3.3,3.29,3.43,3.29,3.27,3.54,3.45,3.45,3.46
3.3,3.29,3.43,3.29,3.27,3.54,3.45,3.45,3.46,3.25
3.29,3.43,3.29,3.27,3.54,3.45,3.45,3.46,3.25,3.27
3.43,3.29,3.27,3.54,3.45,3.45,3.46,3.25,3.27,3.24
3.29,3.27,3.54,3.45,3.45,3.46,3.25,3.27,3.24,3.39
3.27,3.54,3.45,3.45,3.46,3.25,3.27,3.24,3.39,3.27
3.54,3.45,3.45,3.46,3.25,3.27,3.24,3.39,3.27,3.23
3.45,3.45,3.46,3.25,3.27,3.24,3.39,3.27,3.23,3.21
3.45,3.46,3.25,3.27,3.24,3.39,3.27,3.23,3.21,3.25
3.46,3.25,3.27,3.24,3.39,3.27,3.23,3.21,3.25,3.29
3.25,3.27,3.24,3.39,3.27,3.23,3.21,3.25,3.29,3.21
3.27,3.24,3.39,3.27,3.23,3.21,3.25,3.29,3.21,3.23
3.24,3.39,3.27,3.23,3.21,3.25,3.29,3.21,3.23,3.22
3.39,3.27,3.23,3.21,3.25,3.29,3.21,3.23,3.22,3.18
3.27,3.23,3.21,3.25,3.29,3.21,3.23,3.22,3.18,3.14
3.23,3.21,3.25,3.29,3.21,3.23,3.22,3.18,3.14,3.14
3.21,3.25,3.29,3.21,3.23,3.22,3.18,3.14,3.14,3.14
3.25,3.29,3.21,3.23,3.22,3.18,3.14,3.14,3.14,3.18
3.29,3.21,3.23,3.22,3.18,3.14,3.14,3.14,3.18,3.15
3.21,3.23,3.22,3.18,3.14,3.14,3.14,3.18,3.15,3.1
3.23,3.22,3.18,3.14,3.14,3.14,3.18,3.15,3.1,3.19
3.22,3.18,3.14,3.14,3.14,3.18,3.15,3.1,3.19,3.13
3.18,3.14,3.14,3.14,3.18,3.15,3.1,3.19,3.13,3.09
3.14,3.14,3.14,3.18,3.15,3.1,3.19,3.13,3.09,3.07
3.14,3.14,3.18,3.15,3.1,3.19,3.13,3.09,3.07,3.05
3.14,3.18,3.15,3.1,3.19,3.13,3.09,3.07,3.05,3.12
3.18,3.15,3.1,3.19,3.13,3.09,3.07,3.05,3.12,3.07
3.15,3.1,3.19,3.13,3.09,3.07,3.05,3.12,3.07,3.05
3.1,3.19,3.13,3.09,3.07,3.05,3.12,3.07,3.05,3.04
3.19,3.13,3.09,3.07,3.05,3.12,3.07,3.05,3.04,3.04
3.13,3.09,3.07,3.05,3.12,3.07,3.05,3.04,3.04,2.99
3.09,3.07,3.05,3.12,3.07,3.05,3.04,3.04,2.99,2.74
3.07,3.05,3.12,3.07,3.05,3.04,3.04,2.99,2.74,2.89
3.05,3.12,3.07,3.05,3.04,3.04,2.99,2.74,2.89,2.82
3.12,3.07,3.05,3.04,3.04,2.99,2.74,2.89,2.82,2.74
3.07,3.05,3.04,3.04,2.99,2.74,2.89,2.82,2.74,2.89
3.05,3.04,3.04,2.99,2.74,2.89,2.82,2.74,2.89,2.8
